name;price;expiration
Smart Watch Pro #(4916729384756231);$129.99;5/15/2023
Organic Almond Butter #(3782946105827634);$12.49;6/22/2023
Wireless Headphones #(6104928375612834);$89.95;4/10/2023
Bamboo Cutting Board #(5629184037264915);$24.50;7/3/2023
Essential Oil Diffuser #(3947561028374659);$35.75;5/28/2023
Solar Power Bank #(4028375619402837);$49.99;6/14/2023
Ceramic Coffee Mug #(2836451927384056);;5/12/2023
Stainless Steel Water Bottle #(5927384651029374);$22.50;7/19/2023
Fitness Tracker Band #(3746591827364950);$59.95;4/25/2023
LED Desk Lamp #(6283746591028374);$32.99;6/3/2023
Portable Bluetooth Speaker #(4917263845019283);$78.50;5/17/2023
Yoga Mat Premium #(˙ǝɹɐ noʎ ʍoɥ ʎɐpoʇ ollǝɥ);$45.00;7/1/2023
"Gourmet Spice Set #( special offer )";$42.75;6/29/2023
Digital Kitchen Scale #(5102938476510293);$19.99;5/30/2023
Memory Foam Pillow #(4019283746591028);$65.00;7/15/2023
Indoor Plant Kit #(3756291048372645);$27.50;6/18/2023
Wireless Charging Pad #(6029384756192834);$34.95;4/20/2023
Stainless Steel Cookware Set #(5182736459102837);$199.99;7/5/2023
Noise Cancelling Earbuds #(4756291038475619);$129.95;6/12/2023
Reusable Food Storage Bags #(3018273645910283);$16.49;5/25/2023
Smart Home Security Camera #(6192834750192834);$85.00;7/21/2023
Automatic Pet Feeder #(5019283746591028);$74.99;6/8/2023
Adjustable Laptop Stand #(4029384756102938);$29.95;5/19/2023
Cold Brew Coffee Maker #(3928374651029384);$32.50;7/11/2023
Digital Body Weight Scale #(5928374650192834);$45.99;6/27/2023
Bamboo Bath Towel Set #(4019283747562910);$69.95;5/22/2023
Outdoor Solar Lights #(3756291048273645);$39.99;7/8/2023
USB Wall Charger #(5019273846591028);$18.95;6/5/2023
Silicone Baking Mat Set #(4726391058273645);$15.49;5/14/2023
Compact Air Purifier #(5018273645019283);$119.99;7/25/2023
